Name,Address,Rating,Distance,Latitude,Longitude
General Assembly Pizza,"331 Adelaide St W Toronto, ON M5V 2G5 Canada ",3.8,732.676342193297,43.640722,-79.391051
PI CO.,"130 Spadina Avenue 2B Toronto, ON M5V 1X9 Canada ",4.1,853.3143737851177,43.640722,-79.391051
Local Lakeside Patio,"235 Queens Quay West Toronto, ON M5J 2G8 Canada ",2.4,697.80194779594,43.640722,-79.391051
Fusaro's Kitchen,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.1,900.4980152865746,43.640722,-79.391051
Piano Piano,"55 Colborne Street Toronto, ON M5E 1E3 Canada ",3.8,1604.6327675108946,43.640722,-79.391051
Midnight Arcade,"158 Augusta Avenue Floor 2 Toronto, ON M5T 2L5 Canada ",4.7,1598.8232395431965,43.640722,-79.391051
Ciao Pizzeria,"334 Dundas Street W Toronto, ON M5T 1G5 Canada ",4.6,1507.1013029502687,43.640722,-79.391051
Pizza Karachi,"465 Queen Street W Toronto, ON M5V 2A9 Canada ",5.0,1008.2894535587362,43.640722,-79.391051
Carolina,"772 Dundas Street W Toronto, ON M6J 1V1 Canada ",4.2,1832.905728619906,43.640722,-79.391051
Burning Pizza,"615 Queen Street W Toronto, ON M5V 2B7 Canada ",5.0,1185.2755847100054,43.640722,-79.391051
Beast Pizza,"96 Tecumseth Street Toronto, ON M6J 2H1 Canada ",4.0,1241.8304106776668,43.640722,-79.391051
The Parlour,"642 King St W Toronto, ON M5V 1M7 Canada ",3.7,945.7081005257119,43.640722,-79.391051
Pizza Nova,"365 Front St W Toronto, ON M5V 3S8 Canada ",3.5,270.8733076209406,43.640722,-79.391051
PI CO.,"170 University Ave Toronto, ON M5H 3B3 Canada ",4.0,981.8904170870908,43.640722,-79.391051
Pizza Rustica,"37 Blue Jays Way Toronto, ON M5V 9G9 Canada ",2.4,477.4560040416046,43.640722,-79.391051
Four Brothers Pizza,"540 King Street W Toronto, ON M5V 1M3 Canada ",4.1,749.2318871727658,43.640722,-79.391051
Blondie's Pizza,"65 Front Street W Toronto, ON M5J 1E6 Canada ",0.0,929.0782856338226,43.640722,-79.391051
Pizzeria Libretto,"155 University Avenue Toronto, ON M5H 3B7 Canada ",3.7,1008.95991447752,43.640722,-79.391051
Domino's Pizza,"344 Front Street W Unit 107 Toronto, ON M5V 3W7 Canada ",1.7,307.4926749857708,43.640722,-79.391051
Trattoria Mercatto,"220 Yonge Street Eaton Center Toronto, ON M5B 2H1 Canada ",3.3,1682.5083396074767,43.640722,-79.391051
Abeyan Pizza and Grill,"118 John Street Toronto, ON M5V 2E3 Canada ",4.6,836.3224752429879,43.640722,-79.391051
Za Cafe Pizzeria + Bar,"372 Bay Street Toronto, ON M5H 2W9 Canada ",4.2,1378.6114926680928,43.640722,-79.391051
Pizzeria Popolo,"499 Richmond Street W Toronto, ON M5H 2N3 Canada ",0.0,979.7178410956097,43.640722,-79.391051
Morso Me,"850 King Street W Toronto, ON M5V 1P1 Canada ",4.8,1421.4845205760557,43.640722,-79.391051
Panago Pizza,"133 Bremner Boulevard Toronto, ON M5J 3A7 Canada ",3.4,633.665239230293,43.640722,-79.391051
Terroni,"720 Queen Street W Toronto, ON M6J 1E8 Canada ",3.4,1584.444780031572,43.640722,-79.391051
