Name,Address_x,Closed bucket,Distance_x,Latitude,Longitude,Address_y,Rating,Distance_y
Za Cafe Pizzeria + Bar,"372 Bay St, Toronto ON M5H 2W9",VeryLikelyOpen,564,43.656094,-79.381484,"372 Bay Street Toronto, ON M5H 2W9 Canada ",4.2,563.7081095940894
Pi Co,"432 Church St, Toronto ON M5B 2A4",LikelyOpen,602,43.656094,-79.381484,"60 Colborne Street Toronto, ON M5E 0B7 Canada ",4.0,931.1670445328904
Papa John's Pizza,"200 Dundas St E, Toronto ON M5R 4R2",LikelyOpen,747,43.656094,-79.381484,"200 Dundas Street E Suite E Toronto, ON M5R 4R2 Canada ",2.1,626.7053152715557
Pizza Pizza,"100 Training Ave, Toronto ON A1A 1A1",LikelyOpen,921,43.656094,-79.381484,"761 Bay Street Toronto, ON M5G 2R2 Canada ",2.3,487.517934894287
Pi Co,"60 Colborne St, Toronto ON M5E 0B7",VeryLikelyOpen,937,43.656094,-79.381484,"60 Colborne Street Toronto, ON M5E 0B7 Canada ",4.0,931.1670445328904
Uncle Tony's,"38 Wellington St E (Wellington and Scott), Toronto ON M5E 1C7",LikelyOpen,989,43.656094,-79.381484,"38 Wellington St East Toronto, ON M5E 1C7 Canada ",3.6,988.5318927763428
Napoli Centrale,"964 Bathurst St, Toronto ON M5R 3G5",LikelyOpen,876,43.661559,-79.413845,"964 Bathurst Street Toronto, ON M5R 3G5 Canada ",4.4,887.7872231958453
Pizza Gigi,"189 Harbord St (at Lippincott), Toronto ON M5S 1H5",VeryLikelyOpen,446,43.661559,-79.413845,"189 Harbord Street Toronto, ON M5S 1H5 Canada ",3.1,446.64026650746695
Regina Pizzeria & Trattoria,"782 College St (btwn Shaw St & Roxton Rd), Toronto ON M6G 1C6",VeryLikelyOpen,934,43.661559,-79.413845,"782 College Street Toronto, ON M6G 1C6 Canada ",3.9,932.5666186062948
Pizza Pizza,"558 Bloor St W, Toronto ON M6G 1K1",LikelyOpen,439,43.661559,-79.413845,"558 Bloor Street W Toronto, ON M6G 1K1 Canada ",2.8,451.59641908964704
Pizza Pizza,"558 Bloor St W, Toronto ON M6G 1K1",LikelyOpen,439,43.661559,-79.413845,"328 Bloor Street W Toronto, ON M5S 1W5 Canada ",1.6,1019.2760171481096
Pizza Nova,"193 Harbord St (Lippincott), Toronto ON M5S 2R5",LikelyOpen,421,43.661559,-79.413845,"193 Harbord St Toronto, ON M5S 1H6 Canada ",2.7,413.8094617402444
Pizzaville,"635 Markham St, Toronto ON M6G 2M1",VeryLikelyOpen,424,43.661559,-79.413845,"635 Markham Street Toronto, ON M6G 2M1 Canada ",3.6,425.9216062523664
Pizzeria Libretto,"589 College St, Toronto ON M6G 1B2",LikelyOpen,707,43.661559,-79.413845,"221 Ossington Avenue Toronto, ON M6J 2Z8 Canada ",4.0,1490.9662099901975
Tav's Gnocchi Pizza Bar,"589 College St, Toronto ON M6G 1B2",LikelyOpen,714,43.661559,-79.413845,"589 College St Toronto, ON M6G 1B2 Canada ",3.9,715.9154030426927
Pizza Nova,"703 College St (at Montrose), Toronto ON M6G 1C2",Unsure,794,43.661559,-79.413845,"193 Harbord St Toronto, ON M5S 1H6 Canada ",2.7,413.8094617402444
Giovanni's Italian Kitchen & Pizza Bar,"760A College St, Toronto ON M6G 1C4",LikelyOpen,844,43.661559,-79.413845,"760 College Street Toronto, ON M6G 4A7 Canada ",3.5,846.0945373168047
Pizzaville,"796 College St, Toronto ON M6G 1C6",LikelyOpen,954,43.661559,-79.413845,"635 Markham Street Toronto, ON M6G 2M1 Canada ",3.6,425.9216062523664
Cora Pizza,"1 U002F2 Spadina Ave, Toronto ON M5S 2H7",LikelyOpen,935,43.661559,-79.413845,"656A Spadina Ave Toronto, ON M5S 2H7 Canada ",3.7,925.032879725998
Pi Co,"1200 Bay St, Toronto ON M5R 2A5",LikelyOpen,757,43.663376,-79.392125,"180 Bloor St W Toronto, ON M5S 1T6 Canada ",4.0,651.0619672390937
Pi Co,"1200 Bay St, Toronto ON M5R 2A5",LikelyOpen,757,43.663376,-79.392125,"1200 Bay Street Toronto, ON M5R 2A5 Canada ",3.6,775.6775625346969
North of Brooklyn Pizzeria,"469 Church St (at Wellesley St.), Toronto ON M4Y 2C5",VeryLikelyOpen,965,43.663376,-79.392125,"469 Church Street Toronto, ON M4Y 2C5 Canada ",3.2,952.4035883886949
Pizza Nova,"1001 Bay St (St Joseph), Toronto ON M5S 3A6",LikelyOpen,446,43.663376,-79.392125,"997 Bay St Toronto, ON M5S 3C4 Canada ",3.1,446.8297903825245
Tosto Quickfire Pizza Pasta,"800 Bay St, Toronto ON M5S 3A9",VeryLikelyOpen,515,43.663376,-79.392125,"800 Bay Street Unit 101 Toronto, ON M5S 3A9 Canada ",3.6,519.701652796225
Pizza Pizza,"761 Bay St, Toronto ON M5G 2R2",LikelyOpen,722,43.663376,-79.392125,"761 Bay Street Toronto, ON M5G 2R2 Canada ",2.3,706.3569103214087
Pizza Pizza,"471 Yonge St, Toronto ON M4Y 1X4",LikelyOpen,719,43.663376,-79.392125,"761 Bay Street Toronto, ON M5G 2R2 Canada ",2.3,706.3569103214087
Pi Co,"180 Bloor St W, Toronto ON M5S 2V6",LikelyOpen,604,43.663376,-79.392125,"180 Bloor St W Toronto, ON M5S 1T6 Canada ",4.0,651.0619672390937
Pi Co,"180 Bloor St W, Toronto ON M5S 2V6",LikelyOpen,604,43.663376,-79.392125,"1200 Bay Street Toronto, ON M5R 2A5 Canada ",3.6,775.6775625346969
Pizzaiolo,"770 Bay St (College St), Toronto ON M5G 0A6",LikelyOpen,616,43.663376,-79.392125,"770 Bay Street Toronto, ON M5G 0A6 Canada ",4.0,606.5080995598306
Pizza Pizza,"68 Wellesley St E, Toronto ON M4Y 1H2",LikelyOpen,940,43.663376,-79.392125,"761 Bay Street Toronto, ON M5G 2R2 Canada ",2.3,706.3569103214087
Domino's Pizza,"478 Yonge St, Toronto ON M4Y 1X5",LikelyOpen,671,43.663376,-79.392125,"478 Yonge St Toronto, ON M4Y 1X5 Canada ",2.5,681.9233842017525
Cora Pizza,"1 U002F2 Spadina Ave, Toronto ON M5S 2H7",LikelyOpen,832,43.663376,-79.392125,"656A Spadina Ave Toronto, ON M5S 2H7 Canada ",3.7,843.686823880356
Pizza Nova,"267 College St (at Spadina Ave), Toronto ON M5T 1R6",LikelyOpen,871,43.663376,-79.392125,"997 Bay St Toronto, ON M5S 3C4 Canada ",3.1,446.8297903825245
Pizza Studio,"500 Church St (Alexander St), Toronto ON M4Y 2C8",LikelyOpen,936,43.663376,-79.392125,"500 Church Street Unit 3 Toronto, ON M4Y 2C5 Canada ",3.6,940.2361560017772
Pizza Nova,"568 Church St (at Wellesley St E), Toronto ON M4Y 2E3",LikelyOpen,911,43.663376,-79.392125,"997 Bay St Toronto, ON M5S 3C4 Canada ",3.1,446.8297903825245
Pizza Nova,"526 Church St, Toronto ON M4Y 2E1",LikelyOpen,922,43.663376,-79.392125,"997 Bay St Toronto, ON M5S 3C4 Canada ",3.1,446.8297903825245
Pizza Pizza,"2731 Jane St, North York ON M3L 1S3",LikelyOpen,249,43.73901341370186,-79.51286317927207,"2731 Jane Street North York, ON M3L 1S3 Canada ",1.8,246.88400625217247
Pizzeria Libretto,"221 Ossington Ave (at Dundas St W), Toronto ON M6J 2Z8",VeryLikelyOpen,348,43.651145,-79.423742,"221 Ossington Avenue Toronto, ON M6J 2Z8 Canada ",4.0,362.7297893133808
Pizzeria Badiali,"181 Dovercourt Rd (at Argyle St), Toronto ON M6J 3C6",VeryLikelyOpen,531,43.651145,-79.423742,"181 Dovercourt Road Toronto, ON M6J 3C6 Canada ",4.5,563.1823870177512
Bar Poet,"1090 Queen St W (Dovercourt Road), Toronto ON M6J 1H8",VeryLikelyOpen,839,43.651145,-79.423742,"1090 Queen Street W Toronto, ON M6J 1H7 Canada ",3.9,832.0160400126572
Brass Taps Pizza Pub,"934 College St (Dovercourt), Toronto ON M6H 1A4",LikelyOpen,347,43.651145,-79.423742,"934 College St Toronto, ON M6H 1A4 Canada ",3.4,357.0737193058904
Regina Pizzeria & Trattoria,"782 College St (btwn Shaw St & Roxton Rd), Toronto ON M6G 1C6",VeryLikelyOpen,473,43.651145,-79.423742,"782 College Street Toronto, ON M6G 1C6 Canada ",3.9,475.8291855553062
King Slice,"1130 Queen St W, Toronto ON M6J 1J3",LikelyOpen,876,43.651145,-79.423742,"1130 Queen Street W Toronto, ON M6J Canada ",3.7,868.6543469897393
Levetto,"940 College St (Dovercourt), Toronto ON M6H 1A5",LikelyOpen,367,43.651145,-79.423742,"68 Sudbury Street Toronto, ON M6J 3S7 Canada ",4.1,1069.8713607572922
Gino's Pizza,"802 College St (at Roxton Rd.), Toronto ON M6G 1C8",LikelyOpen,435,43.651145,-79.423742,"802 College St Toronto, ON M6G 1C8 Canada ",1.4,435.4326421892931
Pizzaville,"796 College St, Toronto ON M6G 1C6",LikelyOpen,457,43.651145,-79.423742,"796 College Street Toronto, ON M6G 1C6 Canada ",3.3,453.9511656688638
